text,topic
"Human trafficking is the third-largest international crime industry,behind illegal drugs and arms trafficking.",Crime and Security
"According to the FBI,there were over 5,500 reported incidents of bank robbery in the US in 2019.",Crime and Security
"Over 60% of reported sexual assaults occur at the victim's residence.",Crime and Security
"In 2018,there were over 600,000 reported incidents of aggravated assault in the United States.",Crime and Security
"Did you know that only 13% of reported hate crimes result in an arrest?",Crime and Security
"The average cost of a stolen car in the US is around $8,000.",Crime and Security
"Last year,there were over 100,000 reported cases of child abuse in the United States.",Crime and Security
"Over 90% of all reported cyber attacks are initiated through email.",Crime and Security
"According to the World Health Organization,1 in 3 women worldwide have experienced physical or sexual violence.",Crime and Security
"In 2019,there were over 20,000 reported cases of pickpocketing in France.",Crime and Security
"Identity theft affects people of all ages,including children and the elderly.",Crime and Security
"Over 70% of reported hate crimes in the US are based on the victim's perceived sexual orientation.",Crime and Security
"Studies have shown that cities with more police officers per capita tend to have lower crime rates.",Crime and Security
"Over 40% of reported car thefts occur in parking lots or garages.",Crime and Security
"In 2018,there were over 1.3 million reported incidents of property crime in the United States.",Crime and Security
"The state with the highest assault rate in the US is Tennessee.",Crime and Security
"Last year,there were approximately 300,000 reported incidents of online harassment in the United States.",Crime and Security
"Human trafficking primarily affects women and children,accounting for 70% of all victims.",Crime and Security
"According to the FBI,there were over 500,000 reported incidents of bicycle theft in the US in 2019.",Crime and Security
"Over 80% of reported sexual assaults on college campuses involve alcohol.",Crime and Security
"In 2019,there were over 175,000 reported cases of fraud in the UK.",Crime and Security
"The average response time for a fire department to arrive at a fire scene is around 8 minutes.",Crime and Security
"Did you know that only 20% of reported robberies are ever solved?",Crime and Security
"The average cost of a cyber attack for a medium-sized business is $1.2 million.",Crime and Security
"Over 60% of burglaries occur during daylight hours.",Crime and Security
"According to the FBI,there were over 17,000 reported incidents of human trafficking in the US in 2019.",Crime and Security
"Last year,there were approximately 1.5 million reported cases of assault in the United States.",Crime and Security
"Identity theft can take several months or even years to recover from.",Crime and Security
"Over 70% of all reported hate crimes in the US are racially motivated.",Crime and Security
"Studies have shown that neighborhoods with high levels of social cohesion tend to have lower crime rates.",Crime and Security
"The state with the highest rape rate in the US is Alaska.",Crime and Security
"Last year,there were over 3,000 reported cases of arson in the United States.",Crime and Security
"Did you know that only 3% of stolen artwork is ever returned to the owner?",Crime and Security
"The average response time for an ambulance to arrive at a medical emergency is 8 minutes.",Crime and Security
"In 2019,there were over 5,000 reported cases of robbery in the UK.",Crime and Security
"Domestic violence affects people of all genders and socioeconomic backgrounds.",Crime and Security
"According to World Bank,global trade contracted by 9.2% in 2020 due to the COVID-19 pandemic.","Business Trade and International Development"
"The International Monetary Fund (IMF) predicts a 6% rebound in global economic growth in 2021.","Business Trade and International Development"
"In 2020,the United States remained the largest exporter of goods,with a total export value of $1.431 trillion.","Business Trade and International Development"
"The World Trade Organization (WTO) estimates that international trade in commercial services fell by 15% in 2020.","Business Trade and International Development"
"China's total import and export value reached $4.65 trillion in 2020,making it the world's largest trading nation.","Business Trade and International Development"
"According to the United Nations Conference on Trade and Development (UNCTAD),global foreign direct investment fell by 42% in 2020.","Business Trade and International Development"
"The European Union (EU) accounted for 15.6% of global imports and 15.5% of global exports in 2020.","Business Trade and International Development"
"Japan recorded a trade deficit of ¥5.2 trillion in 2020,the first annual deficit in nine years.","Business Trade and International Development"
"The United Kingdom's trade with the European Union decreased by 13% in 2020 following Brexit.","Business Trade and International Development"
"India's merchandise exports declined by 7.2% in 2020,affected by the global economic slowdown.","Business Trade and International Development"
"The ASEAN region's trade volume reached $2.8 trillion in 2020,representing 16.6% of global merchandise trade.","Business Trade and International Development"
"Germany remained the largest exporter of goods in Europe in 2020,with a total export value of €1.41 trillion.","Business Trade and International Development"
"South Korea's exports of semiconductors increased by 5.6% in 2020,driven by high global demand.","Business Trade and International Development"
"In 2020,Russia's trade surplus reached $111.6 billion,mainly due to strong exports of natural resources.","Business Trade and International Development"
"The African Continental Free Trade Area (AfCFTA) came into effect on January 1,2021,creating the world's largest trading bloc.","Business Trade and International Development"
"The United States' trade deficit increased to $678.7 billion in 2020,the highest level since 2008.","Business Trade and International Development"
"Global foreign direct investment flows are expected to recover by 10-15% in 2021,according to UNCTAD.","Business Trade and International Development"
"The World Trade Organization (WTO) predicts a 9.2% decline in global trade in 2020 due to the COVID-19 pandemic.","Business Trade and International Development"
"China's trade surplus reached $535 billion in 2020,driven by strong exports of medical supplies and electronics.","Business Trade and International Development"
"The United States-China trade war resulted in a 19.2% decline in bilateral trade in 2020.","Business Trade and International Development"
"In 2020,Brazil's agricultural exports reached a record $100 billion,despite the challenges posed by the pandemic.","Business Trade and International Development"
"The digital economy accounted for 6.8% of global GDP in 2020,according to the United Nations Conference on Trade and Development (UNCTAD).","Business Trade and International Development"
"Japan's total trade volume decreased by 7.6% in 2020,affected by global supply chain disruptions.","Business Trade and International Development"
"The European Union (EU) and Mercosur reached a trade agreement in 2019,facilitating trade between the two regions.","Business Trade and International Development"
"The United Nations Sustainable Development Goals (SDGs) aim to promote inclusive and sustainable economic growth.","Business Trade and International Development"
"Global e-commerce sales reached $4.2 trillion in 2020,representing a 27.6% increase compared to the previous year.","Business Trade and International Development"
"The COVID-19 crisis led to a 4.3% decline in global merchandise trade in 2020,according to the WTO.","Business Trade and International Development"
"China's foreign direct investment inflows increased by 6.3% in 2020,making it the largest recipient of FDI.","Business Trade and International Development"
"The United States-Mexico-Canada Agreement (USMCA) replaced NAFTA on July 1,2020,promoting regional trade.","Business Trade and International Development"
"In 2020,Australia's services exports declined by 25% due to travel restrictions and reduced international demand.","Business Trade and International Development"
"Germany and France are the largest contributors to the European Union's budget,supporting development and cohesion.","Business Trade and International Development"
"India's services exports reached $204.1 billion in 2020,accounting for around 6% of global services exports.","Business Trade and International Development"
"The United Kingdom is negotiating new trade agreements with countries around the world following its departure from the EU.","Business Trade and International Development"
"China accounts for around 28% of global manufacturing output,according to the United Nations Industrial Development Organization (UNIDO).","Business Trade and International Development"
"Global foreign direct investment flows fell to $846 billion in 2020,a 35% decline compared to the previous year.","Business Trade and International Development"
"The United States is the largest importer of goods,with a total import value of $2.567 trillion in 2020.","Business Trade and International Development"
"The COVID-19 pandemic caused a 5% decline in global GDP in 2020,according to the International Monetary Fund (IMF).","Business Trade and International Development"
"In 2020,China's services imports reached $548.85 billion,representing a significant increase compared to previous years.","Business Trade and International Development"
"The United Kingdom's trade deficit narrowed by 20% in 2020,mainly due to reduced imports.","Business Trade and International Development"
"Global e-commerce penetration reached 21.3% in 2020,with the COVID-19 pandemic driving the shift towards online shopping.","Business Trade and International Development"
"The United States is the largest destination for foreign direct investment,attracting $177 billion in 2020.","Business Trade and International Development"
"India's merchandise imports declined by 18% in 2020,impacted by reduced domestic demand and supply chain disruptions.","Business Trade and International Development"
"In 2020,China's exports of medical supplies increased by 34.2% compared to the previous year due to the COVID-19 pandemic.","Business Trade and International Development"
"Global remittances declined by 12.5% in 2020,reaching $540 billion due to reduced international mobility.","Business Trade and International Development"
"The United States has a trade deficit with 102 countries,with the largest deficits being with China,Mexico,and Japan.","Business Trade and International Development"
"The COVID-19 crisis led to a 20% decline in global foreign direct investment (FDI) projects in 2020.","Business Trade and International Development"
"Germany's exports of machinery and equipment reached €212.3 billion in 2020,representing the highest export value.","Business Trade and International Development"
"In 2020,Italy's trade deficit narrowed by 11% compared to the previous year,mainly due to reduced imports.","Business Trade and International Development"
"Global trade in commercial services is expected to rebound by 9% in 2021,according to the WTO.","Business Trade and International Development"
"The United States has trade agreements with 20 countries,including Canada,Mexico,and South Korea.","Business Trade and International Development"
"In 2020,France recorded a trade deficit of €65.2 billion,mainly due to reduced exports of aerospace products and automobiles.","Business Trade and International Development"
"The COVID-19 pandemic has accelerated digital transformation,with 55% of global consumers increasing their online purchases.","Business Trade and International Development"
"Nigeria's total merchandise trade decreased by 10% in 2020,impacted by reduced oil prices and global demand.","Business Trade and International Development"
"Global trade finance gaps reached $1.5 trillion in 2020,hindering access to finance for businesses,particularly in developing countries.","Business Trade and International Development"
"The United States-China Phase One trade deal was signed on January 15,2020,aiming to address trade imbalances and intellectual property concerns.","Business Trade and International Development"
"In 2020,the United States' top export markets were Canada,Mexico,and China.","Business Trade and International Development"
"The COVID-19 pandemic increased global poverty rates,pushing an additional 150 million people into extreme poverty in 2020,according to the World Bank.","Business Trade and International Development"
"Germany's trade surplus reached €179.6 billion in 2020,the largest surplus among European Union countries.","Business Trade and International Development"
"In 2020,Japan's services trade balance recorded a deficit of ¥8.97 trillion,significantly impacted by the decline in international tourism.","Business Trade and International Development"
"The United States accounts for around 16% of global merchandise imports,according to the WTO.","Business Trade and International Development"
"Global foreign direct investment flows to developing economies fell by 58% in 2020,according to UNCTAD.","Business Trade and International Development"
"The United Nations Sustainable Development Goals (SDGs) aim to promote sustainable economic growth and reduce inequality.","Business Trade and International Development"
"In 2020,South Africa's exports declined by 12%,mainly due to reduced demand for minerals and automotive products.","Business Trade and International Development"
"The European Union's total trade in goods reached €3.52 trillion in 2020,with Germany as the largest contributor.","Business Trade and International Development"
"Global trade in services is expected to recover by 7% in 2021,driven by technological advancements and digitalization.","Business Trade and International Development"
"In 2020,India's trade deficit narrowed by 24.9% compared to the previous year,mainly due to reduced imports.","Business Trade and International Development"
"The COVID-19 pandemic disrupted global supply chains,leading to shortages of essential goods and increased transportation costs.","Business Trade and International Development"
"China's gross domestic product (GDP) grew by 2.3% in 2020,making it the only major economy to achieve positive growth.","Business Trade and International Development"
"Global services exports reached $6.03 trillion in 2020,representing a 16.2% decline compared to the previous year.","Business Trade and International Development"
"The United States and the European Union have the largest bilateral trade relationship,accounting for around 15% of global trade.","Business Trade and International Development"
"In 2020,South Korea's trade surplus reached $62.8 billion,mainly driven by strong exports of semiconductor chips.","Business Trade and International Development"
"The COVID-19 pandemic has led to an estimated 8.8% decline in global merchandise trade volumes in 2020,according to the WTO.","Business Trade and International Development"
"Global foreign direct investment flows to developed economies fell by 69% in 2020,the lowest level in two decades.","Business Trade and International Development"
"The Regional Comprehensive Economic Partnership (RCEP) agreement was signed in November 2020,creating the world's largest trade bloc.","Business Trade and International Development"
"In 2020,Spain's trade deficit declined by 41% compared to the previous year,mainly due to reduced imports.","Business Trade and International Development"
"The United States is the largest exporter of services,accounting for around 18% of global services exports in 2020.","Business Trade and International Development"
"In 2020,China's imports of integrated circuits reached $350 billion,accounting for more than a quarter of global imports.","Business Trade and International Development"
"The COVID-19 pandemic is expected to reduce foreign direct investment in Africa by 25-40% in 2021,according to UNCTAD.","Business Trade and International Development"
"Global travel restrictions led to a 73% decline in international tourist arrivals in 2020,causing significant losses in the tourism sector.","Business Trade and International Development"
"The United States' trade deficit with China reached $310.8 billion in 2020,the highest level since 2018.","Business Trade and International Development"
"In 2020,Mexico's total merchandise trade decreased by 12% compared to the previous year,impacted by the COVID-19 pandemic.","Business Trade and International Development"
"Global trade in goods is projected to rebound by 7.2% in 2021,driving economic recovery post-pandemic.","Business Trade and International Development"
"The United States and China are the world's largest trading partners,accounting for around 15% of global trade.","Business Trade and International Development"
"According to the United Nations,achieving the Sustainable Development Goals (SDGs) could create $12 trillion in business opportunities by 2030.","Business Trade and International Development"
"In 2020,Singapore recorded a trade surplus of S$48.7 billion,mainly driven by strong electronics exports.","Business Trade and International Development"
"Global merchandise exports declined by 5.3% in 2020,reflecting the impact of the COVID-19 pandemic on trade.","Business Trade and International Development"
"Trade facilitation measures,such as simplified customs procedures,can reduce trade costs by an average of 14.3%,boosting international trade.","Business Trade and International Development"
"The United States and the European Union are negotiating a Transatlantic Trade and Investment Partnership (TTIP) to promote trade and investment.","Business Trade and International Development"
"In 2020,Canada's trade deficit widened to CAD 34.8 billion,mainly due to reduced exports of energy products.","Business Trade and International Development"
"Global value chains account for around 80% of global trade,according to the World Trade Organization (WTO).","Business Trade and International Development"
"The COVID-19 pandemic led to a 20% decline in global foreign direct investment projects in 2020,according to UNCTAD.","Business Trade and International Development"
"The United Nations Development Programme (UNDP) supports inclusive and sustainable business practices in developing countries.","Business Trade and International Development"
"In 2020,the United States' top imports were consumer goods,industrial supplies,and capital goods.","Business Trade and International Development"
"Global trade in commercial services is expected to recover to pre-pandemic levels by early 2022,according to the WTO.","Business Trade and International Development"
"The United States' trade deficit with the European Union reached $177.9 billion in 2020,the largest bilateral deficit.","Business Trade and International Development"
"In 2020,Turkey's exports declined by 9.8% compared to the previous year,largely due to reduced demand during the pandemic.","Business Trade and International Development"
"The COVID-19 pandemic is expected to increase income inequality,with the number of people living in extreme poverty estimated to rise by more than 115 million in 2020.","Business Trade and International Development"
"Global foreign direct investment flows to Asia fell by 31% in 2020,largely impacted by the COVID-19 pandemic.","Business Trade and International Development"
"In 2020,China overtook the United States as the European Union's largest trading partner.","Business Trade and International Development"
"The United Nations Sustainable Development Goal 9 aims to build resilient infrastructure,promote inclusive and sustainable industrialization,and foster innovation.","Business Trade and International Development"
"Global foreign direct investment flows to the European Union declined by 71% in 2020,mainly due to intra-EU investment reductions.","Business Trade and International Development"
"The COVID-19 pandemic caused a 42% decline in global services exports in 2020,according to UNCTAD.","Business Trade and International Development"
"Global remittances are projected to increase by 2.6% in 2021,reaching $553 billion,driven by economic recovery in high-income countries.","Business Trade and International Development"
"The United States-Mexico-Canada Agreement (USMCA) includes provisions on digital trade,intellectual property,and labor rights.","Business Trade and International Development"
"In 2020,the Netherlands recorded a trade surplus of €52.4 billion,mainly driven by strong exports of machinery and petroleum products.","Business Trade and International Development"
"Trade liberalization can lead to a 2.8% increase in global GDP,according to the World Trade Organization (WTO).","Business Trade and International Development"
"The COVID-19 pandemic made 120 million full-time workers lose their jobs in 2020,according to the International Labour Organization (ILO).","Business Trade and International Development"
"In 2020,Saudi Arabia's total merchandise trade decreased by 15.1% compared to the previous year,largely due to reduced oil demand.","Business Trade and International Development"
"The United Nations Sustainable Development Goals (SDGs) address various aspects of business and trade,including responsible consumption and production.","Business Trade and International Development"
"Global trade in services is projected to recover and grow by 7% in 2021,according to the WTO.","Business Trade and International Development"
"In 2020,the United States' top trading partners were China,Canada,and Mexico.","Business Trade and International Development"
"The COVID-19 pandemic increased global hunger,with an additional 130 million people estimated to face acute food insecurity in 2020,according to the World Food Programme.","Business Trade and International Development"
"Global foreign direct investment flows to Latin America and the Caribbean fell by 34% in 2020,reaching the lowest level in the past decade.","Business Trade and International Development"
"Trade facilitation measures,such as electronic customs systems,can reduce trade costs by up to 25%,benefiting businesses and promoting international trade.","Business Trade and International Development"
